Step,API,MedianTime,AverageTime,ResponseSize
Passo 2,REST,175.5,178.63,6983
Passo 2,GraphQL,159,164.23,250
Passo 2,REST,198,201.01,7462
Passo 2,GraphQL,157,166.02,222
Passo 2,REST,142,144.71,5475
Passo 2,GraphQL,127,138.55,218
Passo 2,REST,179,181.87,6761
Passo 2,GraphQL,147.5,154.72,198
Passo 2,REST,185,186.13,7063
Passo 2,GraphQL,139.5,146.21,246
Passo 2,REST,143.5,144.6,6295
Passo 2,GraphQL,129.5,136.51,253
Passo 2,REST,134.5,138.87,6237
Passo 2,GraphQL,135,139.08,275
Passo 2,REST,141,144.72,6108
Passo 2,GraphQL,135,138.96,282
Passo 2,REST,135,138.9,5090
Passo 2,GraphQL,132,137.55,250
Passo 2,REST,199.5,202.2,6151
Passo 2,GraphQL,157,168.62,211
